Period,Cap,Stock,Pattern,Date,1D_Ret_norm,3D_Ret_norm,5D_Ret_norm,1D_Ret_real,3D_Ret_real,5D_Ret_real,Turnover1,Turnover2,VolGroup
1,1,TGR_TIGER INTERNATIONAL INC,DBOT,1986-06-06,-0.825947498355,-0.254699365068,-0.38868800656,-0.031746,-0.0163934809671,-0.0327867205861,2585.40505,3241.633408,1.0
1,1,TGR_TIGER INTERNATIONAL INC,DBOT,1986-06-11,0.425273111195,-0.258612968364,-0.579353774734,0.016949,-0.016666460929,-0.0499995012364,2585.40505,3241.633408,1.0
1,1,PCAR_PACCAR INC,HS,1983-02-04,0.194454031954,0.853558583875,2.13846803228,0.00304,0.0242424493453,0.0818181827144,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,HS,1984-09-24,0.351276549324,-2.53129161906,-1.57941478698,0.005155,-0.066666385695,-0.0564099826074,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,HS,1985-02-25,-0.40547551322,-0.332567153888,-0.676583030058,-0.005051,-0.007614,-0.0228433578856,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,HS,1985-09-23,-0.0309551655898,-0.259444124788,-0.214143304693,0.0,-0.00565009347785,-0.00565018695569,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,IHS,1984-05-01,1.5660393399,1.07238730685,1.88215458081,0.021538,0.0301196560416,0.0722886359625,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,IHS,1984-08-06,3.59583433423,0.33677664058,0.216552813355,0.048913,0.0103629446056,0.0103627798599,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,IHS,1985-01-09,0.376486788523,2.79940269168,2.87737325669,0.005495,0.0765030843529,0.109290138793,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,IHS,1985-09-03,-0.845764926054,0.157757367737,-0.211622333377,-0.010989,0.005554922812,-0.00555645908507,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,TTOP,1983-04-12,-0.0309551655898,0.0459109368015,-0.0621851081554,0.0,0.002551,-4.92295000099e-07,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,DTOP,1983-07-26,1.72286185727,-0.00129553363765,-0.0967205618969,0.023653,0.001283149142,-0.00128449521852,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,DTOP,1984-04-10,-0.224035938749,-2.18780528132,-1.95828082932,-0.002604,-0.0574411789816,-0.0704959450975,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,DTOP,1985-06-07,0.172209703249,-0.455996063935,-0.650078138091,0.00274,-0.010929,-0.0218579253783,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,DTOP,1986-05-13,-0.0309551655898,0.0192517815695,-0.0128164049495,0.0,0.001835,0.001835,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,DBOT,1983-04-25,-0.601299753586,-1.20360277782,-1.03517461732,-0.007692,-0.0310078960671,-0.0361755309574,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,DBOT,1983-07-18,-0.449890022867,2.06644263252,2.11551800649,-0.00565,0.05681756177,0.0809649175326,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,DBOT,1983-10-05,-0.124233050626,-0.658694204239,-0.875192266872,-0.001258,-0.0163729785205,-0.0302275041203,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,DBOT,1983-11-08,0.0572806716067,1.72182250248,1.08117565617,0.00119,0.0475619041559,0.0425088250871,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,DBOT,1984-12-24,0.802169092175,0.355436066649,0.459150276858,0.011236,0.010864091358,0.0193823762059,407.9086873,993.2218537,1.0
1,1,PCAR_PACCAR INC,DBOT,1986-09-26,-0.252286236204,0.396828259033,0.0988873461248,-0.002985,0.011975784864,0.00598806380571,407.9086873,993.2218537,1.0
1,1,BKI_BEKER INDUSTRIES CORP,HS,1982-08-23,0.0193167118345,-0.249821141633,0.0679308334108,0.0,-0.025640998614,2.32866473882e-07,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,HS,1982-09-27,-0.442926490471,0.350656736056,0.315919818544,-0.025641,0.0263162375347,0.0263162375347,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,HS,1983-05-26,-0.467912609514,-0.274517970884,0.198806231246,-0.027027,-0.0277779282781,0.0138884205959,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,HS,1983-07-07,-0.241955887947,0.216473332623,0.0679257056093,-0.014493,0.014705820168,-3.1128369482e-07,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,IHS,1983-12-13,0.0193167118345,-0.242410420367,-0.403244278266,0.0,-0.024999775,-0.0499997557692,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,BTOP,1983-08-03,0.527133441515,0.838103651275,0.971552084162,0.028169,0.068493302544,0.09589038315,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,BTOP,1986-02-28,1.65817897455,0.0465191159828,0.0679339218664,0.090909,2.80302999922e-07,5.60606078448e-07,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,BTOP,1986-06-06,-1.98373716482,1.4911603625,0.0679298169306,-0.111111,0.125,1.25000000128e-07,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,BTOP,1986-11-18,0.0193167118345,0.0465144318329,0.0679278649176,0.0,-1.25000000017e-07,-8.21430055087e-08,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,BBOT,1982-08-06,-0.431370861101,-0.842495241928,-1.62347645419,-0.025,-0.076923001386,-0.179487908723,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,BBOT,1982-12-31,0.402887891408,0.0465158764774,2.03115049662,0.021277,0.0,0.208332460985,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,BBOT,1985-05-16,-0.399930896013,0.0465190505347,0.0679243865401,-0.023256,2.74640000297e-07,-4.51260199319e-07,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,BBOT,1986-07-17,-1.18252282516,0.0465097168947,-2.62450585731,-0.066667,-5.32966999756e-07,-0.28571478179,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,TTOP,1982-06-22,-0.399930896013,0.596864465815,-0.156435584271,-0.023256,0.04761972536,-0.0238090008055,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,TTOP,1983-06-16,-0.481451264205,-0.448799624252,-0.470561043962,-0.027778,-0.042857906004,-0.0571432517569,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,TTOP,1983-11-10,0.0193167118345,0.515058900073,1.21403710965,0.0,0.040541377838,0.121622320636,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,TTOP,1985-07-30,0.0193167118345,1.49116214052,0.853222458993,0.0,0.125000153846,0.083333523148,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,TTOP,1985-08-07,0.0193167118345,0.0465103290425,-0.656959763412,0.0,-4.79999999969e-07,-0.076923443077,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,TTOP,1986-08-18,-1.36741289508,-0.916576595153,-1.50265178267,-0.076923,-0.083333,-0.166666280303,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,TBOT,1986-01-23,1.82206700358,-1.00413360816,-0.788752720268,0.1,-0.090909,-0.090909,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,TBOT,1986-03-14,-1.36741289508,1.00960553908,1.63850606684,-0.076923,0.0833327569445,0.166665962607,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,DTOP,1982-07-29,0.48155991414,0.624373670887,0.0679291101678,0.025641,0.05,4.99999999182e-08,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,DTOP,1982-09-17,-0.431370861101,0.0465158764774,0.0679286389926,-0.025,0.0,0.0,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,DTOP,1983-01-18,0.0193167118345,-0.171539065104,-0.287675970882,0.0,-0.0188675262055,-0.0377359202808,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,DTOP,1984-03-12,0.429027770638,0.303331655969,0.0679219931416,0.022727,0.022221365012,-7.05241996024e-07,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,DTOP,1984-10-29,0.0193167118345,-0.366240133732,-0.100344217371,0.0,-0.035714324026,-0.0178567175926,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,DTOP,1985-04-29,-0.81917850386,-0.235360474144,0.0679327762878,-0.046512,-0.02438976798,4.39039988143e-07,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,DBOT,1982-10-13,1.48100467588,0.913305980203,0.774685584294,0.081081,0.075000295238,0.0749993757257,1610.019083,2025.020229,1.0
1,1,BKI_BEKER INDUSTRIES CORP,DBOT,1983-11-17,0.239162109912,-0.231965351804,-0.159140122436,0.012195,-0.024096,-0.024096,1610.019083,2025.020229,1.0
1,1,WETT_WETTERAU INC,HS,1982-02-26,-0.0835429122369,-2.11608587834,-3.03474968275,0.0,-0.0529418199392,-0.10000042437,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1983-01-25,-3.77829333743,-1.07563665221,1.36001487857,-0.05102,-0.0250895610355,0.0537634497483,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1983-12-21,-0.0835429122369,0.353126753137,0.0114015191085,0.0,0.013157656876,0.00657821105225,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1984-02-13,0.409114617018,0.0130504676056,0.134482931724,0.006803,0.004054,0.010884579362,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1984-07-18,-0.0835429122369,-0.373345611013,-0.536130065368,0.0,-0.0062896125,-0.0125788055425,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1985-01-04,0.640633964516,-0.508229239709,-0.459577122168,0.01,-0.00990037375,-0.00990037375,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1985-01-23,2.36533361419,-1.18575619628,-1.37864094091,0.033816,-0.0280374012326,-0.0420565476154,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1985-03-11,-0.0835429122369,0.0386393335704,-0.0411756035347,0.0,0.004739,0.00473864446004,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1985-03-19,-0.0835429122369,-0.314599084769,-0.0418043909316,0.0,-0.004717,0.00471664446783,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1985-06-24,0.245595478247,0.199681087109,0.211383941811,0.004545,0.00905,0.013575189307,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1985-07-17,0.204969155462,-0.73136154534,-0.857145541652,0.003984,-0.015873504,-0.0238104841902,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1986-01-23,-0.0835429122369,-1.36317759945,-0.926274634153,0.0,-0.032786875529,-0.0262291705451,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,HS,1986-10-27,-1.62900878492,-0.254752177669,-0.443717064447,-0.021341,-0.003114930904,-0.00934546258585,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,IHS,1983-11-30,1.29145172365,-1.29850872522,-1.41927393173,0.018987,-0.031055725,-0.0434782133266,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,IHS,1984-01-25,-1.03018692553,-0.633171127028,-0.555191672406,-0.013072,-0.013245,-0.0132457324061,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,IHS,1984-04-04,-1.56144308232,0.121053930572,-0.176603641001,-0.020408,0.00694519385883,2.92856783268e-07,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,IHS,1984-05-15,-0.0835429122369,1.26982594874,0.315439433773,0.0,0.0376971948865,0.0172158793472,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,IHS,1984-05-31,1.40449573412,1.36589388318,2.31705862643,0.020548,0.0402688811498,0.0872484640914,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,IHS,1984-08-24,-0.0835429122369,0.200524222952,0.0826934375226,0.0,0.00907257028713,0.00907257028713,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,IHS,1985-01-09,-0.443820908422,-0.138390791695,-0.176608438559,-0.004975,0.0,1.25000000128e-07,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,IHS,1985-05-09,0.25486494227,0.556618630936,0.222212914452,0.004673,0.0186050235739,0.0139540730362,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,IHS,1985-08-28,-2.23999681583,-1.14411660878,-1.38580193908,-0.029778,-0.0269227321621,-0.0423070963777,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,IHS,1986-02-25,0.37478863306,1.2712786463,1.44121387851,0.006329,0.0377360828086,0.0566044376172,1797.649446,2592.675657,1.0
1,1,WETT_WETTERAU INC,BBOT,1984-03-29,0.92929086759,0.376869510441,-0.570815182372,0.013986,0.013793237553,-0.0137923672454,1797.649446,2592.675657,1.0
