date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,CFACPR,CFACSHR,OPENPRC,RETX
1981-01-21,AAPL,APPLE COMPUTER INC,03783310,32.5,32.75,-32.625,,0.021526,56.0,56.0,,0.021526
1981-01-22,AAPL,APPLE COMPUTER INC,03783310,32.875,33.125,-33.0,,0.011494,56.0,56.0,,0.011494
1981-01-23,AAPL,APPLE COMPUTER INC,03783310,32.75,33.0,-32.875,,-0.003788,56.0,56.0,,-0.003788
1981-01-26,AAPL,APPLE COMPUTER INC,03783310,32.25,32.375,-32.3125,,-0.017110,56.0,56.0,,-0.017110
1981-01-27,AAPL,APPLE COMPUTER INC,03783310,32.0,32.25,-32.125,,-0.005803,56.0,56.0,,-0.005803
1981-01-28,AAPL,APPLE COMPUTER INC,03783310,31.0,31.125,-31.0625,,-0.033074,56.0,56.0,,-0.033074
1981-01-29,AAPL,APPLE COMPUTER INC,03783310,29.875,30.0,-29.9375,,-0.036217,56.0,56.0,,-0.036217
1981-01-30,AAPL,APPLE COMPUTER INC,03783310,28.25,28.5,-28.375,,-0.052192,56.0,56.0,,-0.052192
1981-02-02,AAPL,APPLE COMPUTER INC,03783310,26.625,26.75,-26.6875,,-0.059471,56.0,56.0,,-0.059471
1981-02-03,AAPL,APPLE COMPUTER INC,03783310,27.625,27.75,-27.6875,,0.037471,56.0,56.0,,0.037471
1981-02-04,AAPL,APPLE COMPUTER INC,03783310,28.625,28.75,-28.6875,,0.036117,56.0,56.0,,0.036117
1981-02-05,AAPL,APPLE COMPUTER INC,03783310,28.625,28.875,-28.75,,0.002179,56.0,56.0,,0.002179
1981-02-06,AAPL,APPLE COMPUTER INC,03783310,28.75,28.875,-28.8125,,0.002174,56.0,56.0,,0.002174
1981-02-09,AAPL,APPLE COMPUTER INC,03783310,27.25,27.5,-27.375,,-0.049892,56.0,56.0,,-0.049892
1981-02-10,AAPL,APPLE COMPUTER INC,03783310,27.25,27.375,-27.3125,,-0.002283,56.0,56.0,,-0.002283
1981-02-11,AAPL,APPLE COMPUTER INC,03783310,26.375,26.5,-26.4375,,-0.032037,56.0,56.0,,-0.032037
1981-02-12,AAPL,APPLE COMPUTER INC,03783310,26.125,26.25,-26.1875,,-0.009456,56.0,56.0,,-0.009456
1981-02-13,AAPL,APPLE COMPUTER INC,03783310,25.5,25.75,-25.625,,-0.021480,56.0,56.0,,-0.021480
1981-02-17,AAPL,APPLE COMPUTER INC,03783310,26.125,26.25,-26.1875,,0.021951,56.0,56.0,,0.021951
1981-02-18,AAPL,APPLE COMPUTER INC,03783310,27.25,27.5,-27.375,,0.045346,56.0,56.0,,0.045346
1981-02-19,AAPL,APPLE COMPUTER INC,03783310,25.625,25.75,-25.6875,,-0.061644,56.0,56.0,,-0.061644
1981-02-20,AAPL,APPLE COMPUTER INC,03783310,24.25,24.375,-24.3125,,-0.053528,56.0,56.0,,-0.053528
1981-02-23,AAPL,APPLE COMPUTER INC,03783310,24.625,24.75,-24.6875,,0.015424,56.0,56.0,,0.015424
1981-02-24,AAPL,APPLE COMPUTER INC,03783310,23.75,24.0,-23.875,,-0.032911,56.0,56.0,,-0.032911
1981-02-25,AAPL,APPLE COMPUTER INC,03783310,25.25,25.375,-25.3125,,0.060209,56.0,56.0,,0.060209
1981-02-26,AAPL,APPLE COMPUTER INC,03783310,25.625,25.75,-25.6875,,0.014815,56.0,56.0,,0.014815
1981-02-27,AAPL,APPLE COMPUTER INC,03783310,26.5,26.75,-26.625,,0.036496,56.0,56.0,,0.036496
1981-03-02,AAPL,APPLE COMPUTER INC,03783310,26.625,26.75,-26.6875,,0.002347,56.0,56.0,,0.002347
1981-03-03,AAPL,APPLE COMPUTER INC,03783310,26.25,26.375,-26.3125,,-0.014052,56.0,56.0,,-0.014052
1981-03-04,AAPL,APPLE COMPUTER INC,03783310,26.0,26.125,-26.0625,,-0.009501,56.0,56.0,,-0.009501
1981-03-05,AAPL,APPLE COMPUTER INC,03783310,25.875,26.0,-25.9375,,-0.004796,56.0,56.0,,-0.004796
1981-03-06,AAPL,APPLE COMPUTER INC,03783310,25.625,25.875,-25.75,,-0.007229,56.0,56.0,,-0.007229
1981-03-09,AAPL,APPLE COMPUTER INC,03783310,23.625,23.75,-23.6875,,-0.080097,56.0,56.0,,-0.080097
1981-03-10,AAPL,APPLE COMPUTER INC,03783310,22.5,22.625,-22.5625,,-0.047493,56.0,56.0,,-0.047493
1981-03-11,AAPL,APPLE COMPUTER INC,03783310,21.625,21.875,-21.75,,-0.036011,56.0,56.0,,-0.036011
1981-03-12,AAPL,APPLE COMPUTER INC,03783310,22.5,22.625,-22.5625,,0.037356,56.0,56.0,,0.037356
1981-03-13,AAPL,APPLE COMPUTER INC,03783310,22.25,22.375,-22.3125,,-0.011080,56.0,56.0,,-0.011080
1981-03-16,AAPL,APPLE COMPUTER INC,03783310,23.125,23.375,-23.25,,0.042017,56.0,56.0,,0.042017
1981-03-17,AAPL,APPLE COMPUTER INC,03783310,24.25,24.5,-24.375,,0.048387,56.0,56.0,,0.048387
1981-03-18,AAPL,APPLE COMPUTER INC,03783310,25.75,26.0,-25.875,,0.061538,56.0,56.0,,0.061538
1981-03-19,AAPL,APPLE COMPUTER INC,03783310,25.5,25.625,-25.5625,,-0.012077,56.0,56.0,,-0.012077
1981-03-20,AAPL,APPLE COMPUTER INC,03783310,25.75,26.0,-25.875,,0.012225,56.0,56.0,,0.012225
1981-03-23,AAPL,APPLE COMPUTER INC,03783310,26.75,27.0,-26.875,,0.038647,56.0,56.0,,0.038647
1981-03-24,AAPL,APPLE COMPUTER INC,03783310,26.625,26.75,-26.6875,,-0.006977,56.0,56.0,,-0.006977
1981-03-25,AAPL,APPLE COMPUTER INC,03783310,26.125,26.375,-26.25,,-0.016393,56.0,56.0,,-0.016393
1981-03-26,AAPL,APPLE COMPUTER INC,03783310,25.625,25.75,-25.6875,,-0.021429,56.0,56.0,,-0.021429
1981-03-27,AAPL,APPLE COMPUTER INC,03783310,24.75,24.875,-24.8125,,-0.034063,56.0,56.0,,-0.034063
1981-03-30,AAPL,APPLE COMPUTER INC,03783310,24.75,25.0,-24.875,,0.002519,56.0,56.0,,0.002519
1981-03-31,AAPL,APPLE COMPUTER INC,03783310,24.5,24.75,-24.625,,-0.010050,56.0,56.0,,-0.010050
1981-04-01,AAPL,APPLE COMPUTER INC,03783310,24.25,24.375,-24.3125,,-0.012690,56.0,56.0,,-0.012690
1981-04-02,AAPL,APPLE COMPUTER INC,03783310,26.375,26.5,-26.4375,,0.087404,56.0,56.0,,0.087404
1981-04-03,AAPL,APPLE COMPUTER INC,03783310,26.5,26.625,-26.5625,,0.004728,56.0,56.0,,0.004728
1981-04-06,AAPL,APPLE COMPUTER INC,03783310,26.0,26.125,-26.0625,,-0.018824,56.0,56.0,,-0.018824
1981-04-07,AAPL,APPLE COMPUTER INC,03783310,25.75,25.875,-25.8125,,-0.009592,56.0,56.0,,-0.009592
1981-04-08,AAPL,APPLE COMPUTER INC,03783310,27.0,27.25,-27.125,,0.050847,56.0,56.0,,0.050847
1981-04-09,AAPL,APPLE COMPUTER INC,03783310,27.5,27.625,-27.5625,,0.016129,56.0,56.0,,0.016129
1981-04-10,AAPL,APPLE COMPUTER INC,03783310,27.875,28.0,-27.9375,,0.013605,56.0,56.0,,0.013605
1981-04-13,AAPL,APPLE COMPUTER INC,03783310,27.875,28.0,-27.9375,,0.000000,56.0,56.0,,0.000000
1981-04-14,AAPL,APPLE COMPUTER INC,03783310,27.875,28.0,-27.9375,,0.000000,56.0,56.0,,0.000000
1981-04-15,AAPL,APPLE COMPUTER INC,03783310,26.5,26.625,-26.5625,,-0.049217,56.0,56.0,,-0.049217
1981-04-16,AAPL,APPLE COMPUTER INC,03783310,25.0,25.125,-25.0625,,-0.056471,56.0,56.0,,-0.056471
1981-04-20,AAPL,APPLE COMPUTER INC,03783310,25.75,25.875,-25.8125,,0.029925,56.0,56.0,,0.029925
1981-04-21,AAPL,APPLE COMPUTER INC,03783310,27.5,27.625,-27.5625,,0.067797,56.0,56.0,,0.067797
1981-04-22,AAPL,APPLE COMPUTER INC,03783310,28.5,28.625,-28.5625,,0.036281,56.0,56.0,,0.036281
1981-04-23,AAPL,APPLE COMPUTER INC,03783310,29.25,29.375,-29.3125,,0.026258,56.0,56.0,,0.026258
1981-04-24,AAPL,APPLE COMPUTER INC,03783310,29.0,29.25,-29.125,,-0.006397,56.0,56.0,,-0.006397
1981-04-27,AAPL,APPLE COMPUTER INC,03783310,28.75,28.875,-28.8125,,-0.010730,56.0,56.0,,-0.010730
1981-04-28,AAPL,APPLE COMPUTER INC,03783310,28.25,28.375,-28.3125,,-0.017354,56.0,56.0,,-0.017354
1981-04-29,AAPL,APPLE COMPUTER INC,03783310,27.875,28.0,-27.9375,,-0.013245,56.0,56.0,,-0.013245
1981-04-30,AAPL,APPLE COMPUTER INC,03783310,28.375,28.625,-28.5,,0.020134,56.0,56.0,,0.020134
1981-05-01,AAPL,APPLE COMPUTER INC,03783310,28.375,28.625,-28.5,,0.000000,56.0,56.0,,0.000000
1981-05-04,AAPL,APPLE COMPUTER INC,03783310,28.25,28.375,-28.3125,,-0.006579,56.0,56.0,,-0.006579
1981-05-05,AAPL,APPLE COMPUTER INC,03783310,28.125,28.25,-28.1875,,-0.004415,56.0,56.0,,-0.004415
1981-05-06,AAPL,APPLE COMPUTER INC,03783310,27.375,27.5,-27.4375,,-0.026608,56.0,56.0,,-0.026608
1981-05-07,AAPL,APPLE COMPUTER INC,03783310,27.75,27.875,-27.8125,,0.013667,56.0,56.0,,0.013667
1981-05-08,AAPL,APPLE COMPUTER INC,03783310,28.0,28.125,-28.0625,,0.008989,56.0,56.0,,0.008989
1981-05-11,AAPL,APPLE COMPUTER INC,03783310,27.375,27.5,-27.4375,,-0.022272,56.0,56.0,,-0.022272
1981-05-12,AAPL,APPLE COMPUTER INC,03783310,27.375,27.75,-27.5625,,0.004556,56.0,56.0,,0.004556
1981-05-13,AAPL,APPLE COMPUTER INC,03783310,27.25,27.625,-27.4375,,-0.004535,56.0,56.0,,-0.004535
1981-05-14,AAPL,APPLE COMPUTER INC,03783310,26.875,27.125,-27.0,,-0.015945,56.0,56.0,,-0.015945
1981-05-15,AAPL,APPLE COMPUTER INC,03783310,27.5,27.875,-27.6875,,0.025463,56.0,56.0,,0.025463
1981-05-18,AAPL,APPLE COMPUTER INC,03783310,28.0,28.25,-28.125,,0.015801,56.0,56.0,,0.015801
1981-05-19,AAPL,APPLE COMPUTER INC,03783310,27.5,27.625,-27.5625,,-0.020000,56.0,56.0,,-0.020000
1981-05-20,AAPL,APPLE COMPUTER INC,03783310,28.375,28.625,-28.5,,0.034014,56.0,56.0,,0.034014
1981-05-21,AAPL,APPLE COMPUTER INC,03783310,30.0,30.125,-30.0625,,0.054825,56.0,56.0,,0.054825
1981-05-22,AAPL,APPLE COMPUTER INC,03783310,31.375,31.625,-31.5,,0.047817,56.0,56.0,,0.047817
1981-05-26,AAPL,APPLE COMPUTER INC,03783310,31.25,31.375,-31.3125,,-0.005952,56.0,56.0,,-0.005952
1981-05-27,AAPL,APPLE COMPUTER INC,03783310,33.0,33.125,-33.0625,,0.055888,56.0,56.0,,0.055888
1981-05-28,AAPL,APPLE COMPUTER INC,03783310,33.0,33.125,-33.0625,,0.000000,56.0,56.0,,0.000000
1981-05-29,AAPL,APPLE COMPUTER INC,03783310,33.125,33.25,-33.1875,,0.003781,56.0,56.0,,0.003781
1981-06-01,AAPL,APPLE COMPUTER INC,03783310,33.125,33.25,-33.1875,,0.000000,56.0,56.0,,0.000000
1981-06-02,AAPL,APPLE COMPUTER INC,03783310,31.5,31.625,-31.5625,,-0.048964,56.0,56.0,,-0.048964
1981-06-03,AAPL,APPLE COMPUTER INC,03783310,31.5,31.75,-31.625,,0.001980,56.0,56.0,,0.001980
1981-06-04,AAPL,APPLE COMPUTER INC,03783310,32.125,32.25,-32.1875,,0.017787,56.0,56.0,,0.017787
1981-06-05,AAPL,APPLE COMPUTER INC,03783310,31.625,31.75,-31.6875,,-0.015534,56.0,56.0,,-0.015534
1981-06-08,AAPL,APPLE COMPUTER INC,03783310,30.5,30.625,-30.5625,,-0.035503,56.0,56.0,,-0.035503
1981-06-09,AAPL,APPLE COMPUTER INC,03783310,31.125,31.25,-31.1875,,0.020450,56.0,56.0,,0.020450
1981-06-10,AAPL,APPLE COMPUTER INC,03783310,31.5,31.875,-31.6875,,0.016032,56.0,56.0,,0.016032
1981-06-11,AAPL,APPLE COMPUTER INC,03783310,32.875,33.0,-32.9375,,0.039448,56.0,56.0,,0.039448
1981-06-12,AAPL,APPLE COMPUTER INC,03783310,32.5,32.625,-32.5625,,-0.011385,56.0,56.0,,-0.011385
1981-06-15,AAPL,APPLE COMPUTER INC,03783310,32.375,32.5,-32.4375,,-0.003839,56.0,56.0,,-0.003839
1981-06-16,AAPL,APPLE COMPUTER INC,03783310,31.75,31.875,-31.8125,,-0.019268,56.0,56.0,,-0.019268
1981-06-17,AAPL,APPLE COMPUTER INC,03783310,31.25,31.375,-31.3125,,-0.015717,56.0,56.0,,-0.015717
1981-06-18,AAPL,APPLE COMPUTER INC,03783310,31.125,31.375,-31.25,,-0.001996,56.0,56.0,,-0.001996
1981-06-19,AAPL,APPLE COMPUTER INC,03783310,30.25,30.375,-30.3125,,-0.030000,56.0,56.0,,-0.030000
1981-06-22,AAPL,APPLE COMPUTER INC,03783310,29.125,29.25,-29.1875,,-0.037113,56.0,56.0,,-0.037113
1981-06-23,AAPL,APPLE COMPUTER INC,03783310,29.625,29.875,-29.75,,0.019272,56.0,56.0,,0.019272
1981-06-24,AAPL,APPLE COMPUTER INC,03783310,28.875,29.125,-29.0,,-0.025210,56.0,56.0,,-0.025210
1981-06-25,AAPL,APPLE COMPUTER INC,03783310,29.5,29.625,-29.5625,,0.019397,56.0,56.0,,0.019397
1981-06-26,AAPL,APPLE COMPUTER INC,03783310,29.125,29.375,-29.25,,-0.010571,56.0,56.0,,-0.010571
1981-06-29,AAPL,APPLE COMPUTER INC,03783310,28.125,28.375,-28.25,,-0.034188,56.0,56.0,,-0.034188
1981-06-30,AAPL,APPLE COMPUTER INC,03783310,26.0,26.125,-26.0625,,-0.077434,56.0,56.0,,-0.077434
1981-07-01,AAPL,APPLE COMPUTER INC,03783310,25.75,25.875,-25.8125,,-0.009592,56.0,56.0,,-0.009592
