date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,CFACPR,CFACSHR,OPENPRC,RETX
1980-01-30,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,69.625,70.625,70.375,347100.0,0.000000,4.0,4.0,,0.000000
1980-01-31,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,68.25,71.125,68.625,586000.0,-0.024867,4.0,4.0,,-0.024867
1980-02-01,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,68.375,69.5,69.375,361700.0,0.010929,4.0,4.0,,0.010929
1980-02-04,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,68.625,69.625,69.125,288200.0,-0.003604,4.0,4.0,,-0.003604
1980-02-05,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,68.75,69.625,69.625,381400.0,0.007233,4.0,4.0,,0.007233
1980-02-06,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,67.75,69.0,68.375,509800.0,-0.005601,4.0,4.0,,-0.017953
1980-02-07,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,67.125,68.25,67.125,512800.0,-0.018282,4.0,4.0,,-0.018282
1980-02-08,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.25,67.625,67.25,628900.0,0.001862,4.0,4.0,,0.001862
1980-02-11,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.5,67.5,66.75,397500.0,-0.007435,4.0,4.0,,-0.007435
1980-02-12,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.375,68.875,68.875,387100.0,0.031835,4.0,4.0,,0.031835
1980-02-13,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,69.25,70.5,69.375,807000.0,0.007260,4.0,4.0,,0.007260
1980-02-14,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,68.125,70.25,68.125,480000.0,-0.018018,4.0,4.0,,-0.018018
1980-02-15,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,67.125,68.0,67.625,582800.0,-0.007339,4.0,4.0,,-0.007339
1980-02-19,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.375,67.75,67.0,449000.0,-0.009242,4.0,4.0,,-0.009242
1980-02-20,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,67.125,67.75,67.25,266000.0,0.003731,4.0,4.0,,0.003731
1980-02-21,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.875,67.125,66.25,359000.0,-0.014870,4.0,4.0,,-0.014870
1980-02-22,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.5,66.25,66.0,456700.0,-0.003774,4.0,4.0,,-0.003774
1980-02-25,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.875,65.875,65.125,543300.0,-0.013258,4.0,4.0,,-0.013258
1980-02-26,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.625,65.375,65.0,528000.0,-0.001919,4.0,4.0,,-0.001919
1980-02-27,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,62.0,65.125,62.0,688700.0,-0.046154,4.0,4.0,,-0.046154
1980-02-28,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,62.125,64.0,63.375,689700.0,0.022177,4.0,4.0,,0.022177
1980-02-29,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,63.0,63.75,63.5,652300.0,0.001972,4.0,4.0,,0.001972
1980-03-03,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,62.625,63.5,62.75,340500.0,-0.011811,4.0,4.0,,-0.011811
1980-03-04,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,62.25,63.375,63.25,447700.0,0.007968,4.0,4.0,,0.007968
1980-03-05,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,61.75,63.125,62.0,458400.0,-0.019763,4.0,4.0,,-0.019763
1980-03-06,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,60.625,62.25,61.125,687400.0,-0.014113,4.0,4.0,,-0.014113
1980-03-07,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,60.875,61.875,61.0,625300.0,-0.002045,4.0,4.0,,-0.002045
1980-03-10,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,61.125,62.25,61.625,491300.0,0.010246,4.0,4.0,,0.010246
1980-03-11,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,61.5,62.25,62.25,502300.0,0.010142,4.0,4.0,,0.010142
1980-03-12,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,60.875,62.125,61.375,495600.0,-0.014056,4.0,4.0,,-0.014056
1980-03-13,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,59.875,61.25,60.125,561000.0,-0.020367,4.0,4.0,,-0.020367
1980-03-14,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,59.625,60.75,59.875,485900.0,-0.004158,4.0,4.0,,-0.004158
1980-03-17,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,59.125,60.375,59.125,414700.0,-0.012526,4.0,4.0,,-0.012526
1980-03-18,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,58.625,60.25,59.625,493600.0,0.008457,4.0,4.0,,0.008457
1980-03-19,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,58.75,59.75,58.875,368500.0,-0.012579,4.0,4.0,,-0.012579
1980-03-20,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,58.0,59.25,58.25,479300.0,-0.010616,4.0,4.0,,-0.010616
1980-03-21,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,56.25,58.125,56.75,1480000.0,-0.025751,4.0,4.0,,-0.025751
1980-03-24,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.0,56.375,54.125,719800.0,-0.046256,4.0,4.0,,-0.046256
1980-03-25,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.0,55.125,54.75,750200.0,0.011547,4.0,4.0,,0.011547
1980-03-26,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.5,55.875,53.0,780600.0,-0.031963,4.0,4.0,,-0.031963
1980-03-27,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,51.375,57.5,57.5,855300.0,0.084906,4.0,4.0,,0.084906
1980-03-28,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.125,56.375,55.875,678400.0,-0.028261,4.0,4.0,,-0.028261
1980-03-31,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.625,55.875,55.75,389000.0,-0.002237,4.0,4.0,,-0.002237
1980-04-01,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.5,55.75,54.875,539500.0,-0.015695,4.0,4.0,,-0.015695
1980-04-02,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.625,56.0,55.5,373500.0,0.011390,4.0,4.0,,0.011390
1980-04-03,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.625,55.875,54.875,338800.0,-0.011261,4.0,4.0,,-0.011261
1980-04-07,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.375,54.875,53.375,548300.0,-0.027335,4.0,4.0,,-0.027335
1980-04-08,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.0,55.75,53.5,522000.0,0.002342,4.0,4.0,,0.002342
1980-04-09,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.375,54.75,54.625,512900.0,0.021028,4.0,4.0,,0.021028
1980-04-10,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.0,55.25,54.25,504900.0,-0.006865,4.0,4.0,,-0.006865
1980-04-11,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.5,55.0,53.5,651700.0,-0.013825,4.0,4.0,,-0.013825
1980-04-14,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.75,53.75,53.0,334100.0,-0.009346,4.0,4.0,,-0.009346
1980-04-15,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,51.875,53.5,52.0,579900.0,-0.018868,4.0,4.0,,-0.018868
1980-04-16,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,51.0,52.875,51.125,672300.0,-0.016827,4.0,4.0,,-0.016827
1980-04-17,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,50.375,51.625,51.25,451000.0,0.002445,4.0,4.0,,0.002445
1980-04-18,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,50.875,51.75,51.25,411900.0,0.000000,4.0,4.0,,0.000000
1980-04-21,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,50.5,51.625,51.25,663800.0,0.000000,4.0,4.0,,0.000000
1980-04-22,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.0,54.5,53.875,821800.0,0.051220,4.0,4.0,,0.051220
1980-04-23,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.25,54.375,53.5,761400.0,-0.006961,4.0,4.0,,-0.006961
1980-04-24,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.25,54.25,53.75,372000.0,0.004673,4.0,4.0,,0.004673
1980-04-25,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.875,55.375,55.375,407800.0,0.030233,4.0,4.0,,0.030233
1980-04-28,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.375,55.375,54.5,464000.0,-0.015801,4.0,4.0,,-0.015801
1980-04-29,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.125,55.125,54.875,298900.0,0.006881,4.0,4.0,,0.006881
1980-04-30,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.625,55.125,54.875,350800.0,0.000000,4.0,4.0,,0.000000
1980-05-01,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.75,54.875,54.375,291900.0,-0.009112,4.0,4.0,,-0.009112
1980-05-02,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.875,54.375,54.0,243800.0,-0.006897,4.0,4.0,,-0.006897
1980-05-05,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.75,55.75,55.375,344800.0,0.025463,4.0,4.0,,0.025463
1980-05-06,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.75,55.75,54.875,354600.0,-0.009029,4.0,4.0,,-0.009029
1980-05-07,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.75,55.75,55.125,414800.0,0.004556,4.0,4.0,,0.004556
1980-05-08,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.5,54.375,53.875,388300.0,-0.007075,4.0,4.0,,-0.022676
1980-05-09,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.0,53.75,52.125,1044700.0,-0.032483,4.0,4.0,,-0.032483
1980-05-12,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.125,53.0,52.25,310400.0,0.002398,4.0,4.0,,0.002398
1980-05-13,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.375,53.25,53.25,439700.0,0.019139,4.0,4.0,,0.019139
1980-05-14,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.0,53.5,53.0,429300.0,-0.004695,4.0,4.0,,-0.004695
1980-05-15,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.5,53.25,52.5,425500.0,-0.009434,4.0,4.0,,-0.009434
1980-05-16,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.5,53.0,53.0,305000.0,0.009524,4.0,4.0,,0.009524
1980-05-19,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.875,53.75,53.375,499700.0,0.007075,4.0,4.0,,0.007075
1980-05-20,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.625,53.5,52.75,617700.0,-0.011710,4.0,4.0,,-0.011710
1980-05-21,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.125,52.875,52.875,325100.0,0.002370,4.0,4.0,,0.002370
1980-05-22,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,52.75,54.125,53.75,570800.0,0.016548,4.0,4.0,,0.016548
1980-05-23,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,53.875,55.0,54.75,801500.0,0.018605,4.0,4.0,,0.018605
1980-05-27,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.875,55.625,55.25,655800.0,0.009132,4.0,4.0,,0.009132
1980-05-28,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,55.125,56.625,56.375,631800.0,0.020362,4.0,4.0,,0.020362
1980-05-29,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.375,56.125,54.375,462300.0,-0.035477,4.0,4.0,,-0.035477
1980-05-30,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,54.125,55.5,55.375,440800.0,0.018391,4.0,4.0,,0.018391
1980-06-02,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,55.25,57.375,56.0,681900.0,0.011287,4.0,4.0,,0.011287
1980-06-03,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,56.0,57.125,56.375,654600.0,0.006696,4.0,4.0,,0.006696
1980-06-04,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,56.5,58.125,58.125,905900.0,0.031042,4.0,4.0,,0.031042
1980-06-05,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,56.875,58.375,57.0,653700.0,-0.019355,4.0,4.0,,-0.019355
1980-06-06,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,57.125,57.875,57.125,323400.0,0.002193,4.0,4.0,,0.002193
